Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Iraq,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Ireland,General government net debt,National currency,Billions,,26.478,27.983,42.136,61.984,110.711,134.953,151.531,160.898,166.060,164.830,164.053,164.873,163.347,163.235,163.480
Ireland,General government net debt,Percent of GDP, ,,14.318,14.201,22.467,36.583,66.630,77.586,86.666,89.663,87.841,76.800,71.566,68.398,64.889,62.316,59.951
Israel,General government net debt,National currency,Billions,,494.323,485.386,505.528,545.732,565.103,599.436,630.658,662.004,693.389,703.189,749.004,796.358,845.994,898.020,952.580
Israel,General government net debt,Percent of GDP, ,,71.800,65.800,65.000,66.700,64.500,64.000,63.000,62.700,63.400,61.105,62.598,64.418,65.553,66.394,67.158
Italy,General government net debt,National currency,Billions,,"1,337.693","1,354.310","1,407.514","1,482.004","1,577.816","1,643.892","1,691.844","1,760.439","1,814.764","1,823.562","1,860.842","1,881.099","1,886.308","1,888.622","1,889.167"
Italy,General government net debt,Percent of GDP, ,,86.388,84.142,86.237,94.222,98.336,100.393,104.871,109.720,112.587,111.439,111.800,110.691,108.768,106.597,104.382
Jamaica,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Jamaica,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Japan,General government net debt,National currency,Billions,,"410,560.400","412,884.500","477,558.800","500,315.000","545,690.200","599,743.300","613,320.800","595,163.900","614,672.400","639,303.493","656,129.692","670,907.258","682,452.767","691,716.025","700,739.872"
Japan,General government net debt,Percent of GDP, ,,81.028,80.488,95.281,106.193,113.055,127.178,129.030,124.230,126.232,128.092,129.573,131.233,132.154,132.204,132.157
Jordan,General government net debt,National currency,Billions,,7.319,8.149,8.594,10.205,11.462,13.403,16.751,19.097,20.556,22.219,23.391,24.230,24.847,25.261,25.763
Jordan,General government net debt,Percent of GDP, ,,68.555,67.175,55.114,60.341,61.090,65.454,76.261,80.065,80.809,83.303,82.903,80.794,77.723,74.126,70.918
Kazakhstan,General government net debt,National currency,Billions,,"-1,108.703","-1,772.273","-2,233.365","-1,878.296","-2,235.958","-3,588.466","-4,944.016","-6,337.579","-7,604.316","-12,612.820","-11,039.473","-9,323.825","-7,949.656","-6,602.729","-6,006.887"
Kazakhstan,General government net debt,Percent of GDP, ,,-10.855,-13.792,-13.913,-11.044,-10.249,-13.015,-16.292,-17.966,-19.478,-32.841,-26.952,-20.325,-15.614,-11.761,-9.636
Kenya,General government net debt,National currency,Billions,,743.070,740.549,922.011,"1,055.675","1,274.790","1,455.445","1,617.144","1,807.604","2,317.208","2,998.587","3,632.245","4,067.038","4,537.118","4,995.972","5,479.971"
Kenya,General government net debt,Percent of GDP, ,,39.906,34.423,37.132,36.864,40.223,39.063,37.951,38.209,43.250,49.582,53.109,52.959,52.638,51.623,50.498
Kiribati,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Kiribati,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Korea,General government net debt,National currency,Billions,,"266,181.644","279,484.337","296,863.449","341,207.121","365,628.200","392,418.632","413,409.183","451,242.203","490,082.062","528,325.426","568,191.513","601,038.853","626,776.212","642,434.634","656,055.684"
Korea,General government net debt,Percent of GDP, ,,27.553,26.790,26.878,29.626,28.896,29.446,30.013,31.568,33.000,33.922,35.340,35.591,35.391,34.590,33.662
Kosovo,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Kosovo,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Kuwait,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Kuwait,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Kyrgyz Republic,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Kyrgyz Republic,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Lao P.D.R.,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Lao P.D.R.,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Latvia,General government net debt,National currency,Billions,,1.198,1.004,2.694,4.022,5.161,6.098,6.477,7.478,8.392,7.782,8.098,8.516,8.574,8.693,8.786
Latvia,General government net debt,Percent of GDP, ,,7.018,4.450,11.082,21.383,28.800,30.120,29.697,32.852,35.588,31.927,31.920,31.915,30.293,28.988,27.637
Lebanon,General government net debt,National currency,Billions,,"59,211.642","61,200.182","65,704.196","69,990.000","73,930.955","77,496.765","82,094.000","89,111.000","94,268.000","101,202.412","107,402.236","114,231.852","121,919.206","130,720.660","140,584.921"
