Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Moldova,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Mongolia,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Montenegro,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Morocco,General government net debt,National currency,Billions,,328.183,327.186,320.723,340.199,380.486,427.562,489.860,549.674,581.428,632.643,669.271,699.945,731.192,759.418,783.675
Mozambique,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Myanmar,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Namibia,General government net debt,National currency,Billions,,11.351,8.052,6.387,6.629,9.981,17.393,20.191,28.206,33.184,41.449,52.334,60.783,67.255,73.535,80.481
Nepal,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Netherlands,General government net debt,National currency,Billions,,119.812,108.558,103.325,124.595,147.306,172.145,182.678,202.787,218.410,231.108,243.093,251.693,260.058,268.160,275.978
New Zealand,General government net debt,National currency,Billions,,4.556,-1.620,-4.381,-1.489,4.686,12.782,16.497,17.450,18.007,18.473,18.823,18.550,17.334,14.889,12.061
Nicaragua,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Niger,General government net debt,National currency,Billions,,-711.178,31.231,45.952,22.559,120.474,78.045,69.862,109.733,145.207,235.685,216.946,203.084,206.024,231.890,223.059
Nigeria,General government net debt,National currency,Billions,,n/a,n/a,n/a,"2,656.472","4,907.178","5,754.803","5,844.319","8,054.407","9,011.487","10,505.587","13,582.896","16,655.863","19,734.626","23,542.678","28,246.606"
Norway,General government net debt,National currency,Billions,,"-3,044.168","-3,377.016","-3,356.531","-3,847.381","-4,341.603","-4,534.628","-5,082.995","-6,304.265","-7,696.956","-8,740.639","-9,071.292","-9,408.987","-9,788.031","-10,204.594","-10,637.750"
Oman,General government net debt,National currency,Billions,,-3.390,-4.727,-5.777,-5.961,-6.594,-7.769,-8.564,-13.240,-13.592,-8.291,-5.896,-2.264,-0.300,2.456,5.281
Pakistan,General government net debt,National currency,Billions,,"3,950.038","4,138.313","5,595.501","6,861.160","7,848.703","9,555.491","11,323.549","13,236.487","14,597.440","15,823.050","17,425.165","18,895.391","20,204.419","21,653.482","23,033.702"
Palau,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Panama,General government net debt,National currency,Billions,,9.321,9.336,9.261,9.606,10.278,11.464,12.965,14.275,16.823,18.805,20.274,21.226,21.812,22.541,23.189
Papua New Guinea,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Paraguay,General government net debt,National currency,Billions,,"11,407.398","10,350.644","11,065.717","10,167.514","8,948.230","7,512.995","12,431.760","15,348.646","19,505.990","27,642.895","35,069.171","40,620.399","46,233.392","52,167.887","58,428.295"
Peru,General government net debt,National currency,Billions,,68.977,53.527,46.275,44.642,43.075,33.601,23.092,18.972,20.555,34.273,48.508,58.314,67.163,74.513,79.539
Philippines,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Poland,General government net debt,National currency,Billions,,147.792,107.824,113.539,187.181,277.992,372.238,405.785,474.442,387.347,436.494,486.404,544.065,594.644,639.341,681.075
Portugal,General government net debt,National currency,Billions,,94.194,107.785,120.192,139.118,164.860,177.661,195.117,201.669,208.195,217.709,223.285,228.704,234.732,240.847,246.657
Puerto Rico,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Qatar,General government net debt,National currency,Billions,,-55.322,-89.948,-154.325,-138.908,-154.181,-261.182,-392.678,-563.599,-715.905,-773.868,-761.936,-710.756,-680.054,-660.029,-652.139
Romania,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Russia,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Rwanda,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Samoa,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
San Marino,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
São Tomé and Príncipe,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Saudi Arabia,General government net debt,National currency,Billions,,25.674,-250.799,-822.335,-698.912,-826.642,"-1,052.484","-1,417.944","-1,581.402","-1,516.406","-1,020.221",-719.850,-460.132,-203.607,12.044,242.880
Senegal,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Serbia,General government net debt,National currency,Billions,,665.704,635.060,790.669,886.570,"1,193.289","1,396.534","1,868.126","2,059.185","2,640.041","2,934.549","3,128.768","3,249.492","3,351.123","3,466.362","3,596.859"
Seychelles,General government net debt,National currency,Billions,,6.921,8.780,11.534,13.491,8.874,9.105,10.169,9.020,8.830,9.156,9.016,8.848,8.515,8.324,8.013
Sierra Leone,General government net debt,National currency,Billions,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Singapore,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Slovak Republic,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Slovenia,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Solomon Islands,General government net debt,National currency,Billions,,1.399,1.399,1.456,1.354,0.542,-0.030,-0.053,-0.057,-0.184,-0.217,-0.139,-0.064,-0.217,-0.363,-0.506
South Africa,General government net debt,National currency,Billions,,476.311,482.015,515.027,636.187,783.567,947.401,"1,133.633","1,330.025","1,533.025","1,785.714","1,968.774","2,156.402","2,370.850","2,615.285","2,863.245"
South Sudan,General government net debt,National currency,Billions,,n/a,n/a,n/a,n/a,n/a,0.000,0.928,4.197,7.037,19.010,25.195,36.094,42.035,48.644,54.685
Spain,General government net debt,National currency,Billions,,302.108,281.191,335.048,261.454,351.130,420.874,543.285,617.300,666.318,702.457,740.324,768.968,792.839,811.680,829.009
Sri Lanka,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
St. Kitts and Nevis,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
St. Lucia,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
St. Vincent and the Grenadines,General government net debt,National currency,Billions,,1.048,0.968,1.013,1.103,1.148,1.201,1.293,1.384,1.514,1.442,1.538,1.639,1.723,1.782,1.847
Sudan,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Suriname,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Swaziland,General government net debt,National currency,Billions,,1.156,-0.298,-1.645,-1.396,1.351,2.370,1.923,1.485,1.263,4.368,7.608,10.048,12.513,15.189,18.092
Sweden,General government net debt,National currency,Billions,,-372.650,-535.584,-286.598,-500.530,-602.250,-511.002,-658.885,-700.232,-754.323,-717.521,-679.642,-643.402,-623.559,-612.280,-612.545
Switzerland,General government net debt,National currency,Billions,,201.727,173.088,174.809,161.404,160.005,162.217,159.236,160.317,157.714,156.808,153.781,150.719,147.152,143.325,139.193
Syria,General government net debt,National currency,Billions,,497.500,546.460,530.939,452.149,525.056,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Taiwan Province of China,General government net debt,National currency,Billions,,"3,948.821","4,045.492","4,127.527","4,500.006","4,922.478","5,212.660","5,492.762","5,670.157","5,954.381","6,078.748","6,161.212","6,183.476","6,168.410","6,121.687","6,039.974"
Tajikistan,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Tanzania,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Thailand,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Timor-Leste,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Togo,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Tonga,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Trinidad and Tobago,General government net debt,National currency,Billions,,16.653,14.022,8.330,13.311,13.785,13.239,24.667,24.496,27.163,36.420,50.838,64.592,79.113,95.552,114.158
Tunisia,General government net debt,National currency,Billions,,22.325,22.905,23.927,25.190,25.641,28.779,31.418,34.983,40.493,46.594,52.928,57.814,61.293,62.565,64.330
Turkey,General government net debt,National currency,Billions,,295.609,275.800,309.305,357.516,381.754,406.373,393.526,428.569,430.557,469.264,503.796,531.326,560.381,577.650,601.876
Turkmenistan,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Tuvalu,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Uganda,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Ukraine,General government net debt,National currency,Billions,,63.882,72.930,173.872,291.683,415.876,448.627,496.315,563.185,"1,091.506","1,531.784","2,065.470","2,345.171","2,451.916","2,501.889","2,513.306"
United Arab Emirates,General government net debt,National currency,Billions,,"-1,814.095","-2,037.691","-2,352.393","-2,300.888","-2,394.863","-2,571.872","-2,866.144","-3,073.029","-3,275.124","-3,283.749","-3,266.653","-3,295.383","-3,353.309","-3,425.950","-3,512.657"
